method,max_abs_error_east_m,max_abs_error_north_m,max_abs_error_total_m
Euler,1.6755811081194483,1.5575876677692038,1.677858399926242
RK4,3.884044447136081e-06,4.07451012763786e-06,2.1353659218625864e-07
